"data","manancial","volume","pluviometria","pluviometriaacmes","mediames"
"2003-1-1","sistemaCantareira","42.5","0.0","0.0","253.0"
"2003-1-1","sistemaAltoTiete","39.3","0.1","0.1","245.4"
"2003-1-1","sistemaGuarapiranga","37.4","0.0","0.0","225.2"
"2003-1-1","sistemaCotia","36.4","0.0","0.0","224.8"
"2003-1-1","sistemaRioGrande","97.0","0.0","0.0","234.4"
"2003-1-1","sistemaRioClaro","64.2","0.0","0.0","287.8"
"2003-1-2","sistemaCantareira","42.3","11.1","11.1","253.0"
"2003-1-2","sistemaAltoTiete","39.3","9.6","9.7","245.4"
"2003-1-2","sistemaGuarapiranga","37.3","0.0","0.0","225.2"
"2003-1-2","sistemaCotia","35.9","0.0","0.0","224.8"
"2003-1-2","sistemaRioGrande","97.0","26.9","26.9","234.4"
"2003-1-2","sistemaRioClaro","64.0","0.0","0.0","287.8"
"2003-1-3","sistemaCantareira","42.3","8.6","19.6","253.0"
"2003-1-3","sistemaAltoTiete","39.3","10.6","20.3","245.4"
"2003-1-3","sistemaGuarapiranga","37.1","8.5","8.5","225.2"
"2003-1-3","sistemaCotia","35.9","7.6","7.6","224.8"
"2003-1-3","sistemaRioGrande","97.0","4.2","31.1","234.4"
"2003-1-3","sistemaRioClaro","64.2","3.8","3.8","287.8"
"2003-1-4","sistemaCantareira","42.3","14.3","33.9","253.0"
"2003-1-4","sistemaAltoTiete","39.3","2.4","22.7","245.4"
"2003-1-4","sistemaGuarapiranga","37.1","3.6","12.1","225.2"
"2003-1-4","sistemaCotia","35.9","15.7","23.3","224.8"
"2003-1-4","sistemaRioGrande","96.8","0.4","31.5","234.4"
"2003-1-4","sistemaRioClaro","64.3","0.7","4.5","287.8"
"2003-1-5","sistemaCantareira","42.4","12.7","46.5","253.0"
"2003-1-5","sistemaAltoTiete","39.3","13.4","36.2","245.4"
"2003-1-5","sistemaGuarapiranga","37.3","24.5","36.6","225.2"
"2003-1-5","sistemaCotia","36.3","19.7","43.0","224.8"
"2003-1-5","sistemaRioGrande","96.6","0.0","31.5","234.4"
"2003-1-5","sistemaRioClaro","64.4","9.3","13.8","287.8"
"2003-1-6","sistemaCantareira","42.4","23.8","70.4","253.0"
"2003-1-6","sistemaAltoTiete","39.3","2.6","38.8","245.4"
"2003-1-6","sistemaGuarapiranga","37.3","1.0","37.6","225.2"
"2003-1-6","sistemaCotia","36.6","2.6","45.6","224.8"
"2003-1-6","sistemaRioGrande","96.5","0.0","31.5","234.4"
"2003-1-6","sistemaRioClaro","64.6","30.2","44.0","287.8"
"2003-1-7","sistemaCantareira","42.5","0.0","70.4","253.0"
"2003-1-7","sistemaAltoTiete","39.4","0.7","39.5","245.4"
"2003-1-7","sistemaGuarapiranga","37.3","0.0","37.6","225.2"
"2003-1-7","sistemaCotia","36.6","0.0","45.6","224.8"
"2003-1-7","sistemaRioGrande","96.3","1.5","33.0","234.4"
"2003-1-7","sistemaRioClaro","65.0","16.6","60.6","287.8"
"2003-1-8","sistemaCantareira","42.5","0.0","70.4","253.0"
"2003-1-8","sistemaAltoTiete","39.3","0.2","39.7","245.4"
"2003-1-8","sistemaGuarapiranga","37.2","0.0","37.6","225.2"
"2003-1-8","sistemaCotia","36.2","0.0","45.6","224.8"
"2003-1-8","sistemaRioGrande","96.1","0.0","33.0","234.4"
"2003-1-8","sistemaRioClaro","65.1","0.2","60.8","287.8"
"2003-1-9","sistemaCantareira","42.6","0.0","70.4","253.0"
"2003-1-9","sistemaAltoTiete","39.2","0.1","39.7","245.4"
"2003-1-9","sistemaGuarapiranga","37.0","0.0","37.6","225.2"
"2003-1-9","sistemaCotia","35.7","0.0","45.6","224.8"
"2003-1-9","sistemaRioGrande","95.8","0.0","33.0","234.4"
"2003-1-9","sistemaRioClaro","65.1","0.0","60.8","287.8"
"2003-1-10","sistemaCantareira","42.3","0.0","70.4","253.0"
"2003-1-10","sistemaAltoTiete","39.1","0.0","39.7","245.4"
"2003-1-10","sistemaGuarapiranga","37.0","0.0","37.6","225.2"
"2003-1-10","sistemaCotia","35.0","0.0","45.6","224.8"
"2003-1-10","sistemaRioGrande","95.7","0.0","33.0","234.4"
"2003-1-10","sistemaRioClaro","64.8","0.0","60.8","287.8"
"2003-1-11","sistemaCantareira","42.4","25.0","95.4","253.0"
"2003-1-11","sistemaAltoTiete","39.7","55.1","94.9","245.4"
"2003-1-11","sistemaGuarapiranga","37.6","32.4","70.0","225.2"
"2003-1-11","sistemaCotia","35.3","26.3","71.9","224.8"
"2003-1-11","sistemaRioGrande","96.8","50.5","83.5","234.4"
"2003-1-11","sistemaRioClaro","65.2","30.4","91.2","287.8"
"2003-1-12","sistemaCantareira","42.6","8.3","103.7","253.0"
"2003-1-12","sistemaAltoTiete","39.9","0.0","94.9","245.4"
"2003-1-12","sistemaGuarapiranga","38.0","0.0","70.0","225.2"
"2003-1-12","sistemaCotia","35.3","1.5","73.4","224.8"
"2003-1-12","sistemaRioGrande","96.6","0.2","83.7","234.4"
"2003-1-12","sistemaRioClaro","65.3","2.2","93.4","287.8"
"2003-1-13","sistemaCantareira","43.0","23.3","127.1","253.0"
"2003-1-13","sistemaAltoTiete","40.1","1.0","95.8","245.4"
"2003-1-13","sistemaGuarapiranga","38.4","2.8","72.8","225.2"
"2003-1-13","sistemaCotia","35.2","4.7","78.1","224.8"
"2003-1-13","sistemaRioGrande","96.6","1.6","85.3","234.4"
"2003-1-13","sistemaRioClaro","65.4","1.8","95.2","287.8"
"2003-1-14","sistemaCantareira","42.9","2.8","129.9","253.0"
"2003-1-14","sistemaAltoTiete","40.2","1.2","97.0","245.4"
"2003-1-14","sistemaGuarapiranga","38.6","0.4","73.2","225.2"
"2003-1-14","sistemaCotia","34.9","1.4","79.5","224.8"
"2003-1-14","sistemaRioGrande","96.5","1.3","86.6","234.4"
"2003-1-14","sistemaRioClaro","65.4","3.7","98.9","287.8"
"2003-1-15","sistemaCantareira","42.8","0.0","129.9","253.0"
"2003-1-15","sistemaAltoTiete","40.3","0.1","97.2","245.4"
"2003-1-15","sistemaGuarapiranga","38.5","0.0","73.2","225.2"
"2003-1-15","sistemaCotia","34.8","0.4","79.9","224.8"
"2003-1-15","sistemaRioGrande","96.3","0.7","87.3","234.4"
"2003-1-15","sistemaRioClaro","65.4","1.9","100.8","287.8"
"2003-1-16","sistemaCantareira","42.8","0.0","129.9","253.0"
"2003-1-16","sistemaAltoTiete","40.3","0.1","97.2","245.4"
"2003-1-16","sistemaGuarapiranga","38.4","0.0","73.2","225.2"
"2003-1-16","sistemaCotia","34.5","0.6","80.5","224.8"
"2003-1-16","sistemaRioGrande","96.1","0.4","87.7","234.4"
"2003-1-16","sistemaRioClaro","65.4","0.3","101.1","287.8"
"2003-1-17","sistemaCantareira","43.3","43.4","173.2","253.0"
"2003-1-17","sistemaAltoTiete","40.1","4.9","102.1","245.4"
"2003-1-17","sistemaGuarapiranga","38.4","12.2","85.4","225.2"
"2003-1-17","sistemaCotia","35.2","25.5","106.0","224.8"
"2003-1-17","sistemaRioGrande","96.0","4.9","92.6","234.4"
"2003-1-17","sistemaRioClaro","65.4","2.7","103.8","287.8"
"2003-1-18","sistemaCantareira","44.6","42.6","215.8","253.0"
"2003-1-18","sistemaAltoTiete","40.2","12.6","114.7","245.4"
"2003-1-18","sistemaGuarapiranga","38.3","0.0","85.4","225.2"
"2003-1-18","sistemaCotia","35.2","0.0","106.0","224.8"
"2003-1-18","sistemaRioGrande","95.8","0.0","92.6","234.4"
"2003-1-18","sistemaRioClaro","65.4","0.1","103.9","287.8"
"2003-1-19","sistemaCantareira","45.3","6.4","222.3","253.0"
"2003-1-19","sistemaAltoTiete","40.4","7.0","121.8","245.4"
"2003-1-19","sistemaGuarapiranga","38.4","11.8","97.2","225.2"
"2003-1-19","sistemaCotia","35.5","21.7","127.7","224.8"
"2003-1-19","sistemaRioGrande","95.7","2.8","95.4","234.4"
"2003-1-19","sistemaRioClaro","65.0","0.3","104.2","287.8"
"2003-1-20","sistemaCantareira","46.1","30.0","252.2","253.0"
"2003-1-20","sistemaAltoTiete","40.4","0.0","121.8","245.4"
"2003-1-20","sistemaGuarapiranga","38.4","0.0","97.2","225.2"
"2003-1-20","sistemaCotia","35.5","0.0","127.7","224.8"
"2003-1-20","sistemaRioGrande","95.5","0.0","95.4","234.4"
"2003-1-20","sistemaRioClaro","64.7","0.1","104.3","287.8"
"2003-1-21","sistemaCantareira","46.7","0.0","252.2","253.0"
"2003-1-21","sistemaAltoTiete","40.3","0.0","121.8","245.4"
"2003-1-21","sistemaGuarapiranga","38.4","0.0","97.2","225.2"
"2003-1-21","sistemaCotia","35.4","0.0","127.7","224.8"
"2003-1-21","sistemaRioGrande","95.3","0.0","95.4","234.4"
"2003-1-21","sistemaRioClaro","64.5","0.0","104.3","287.8"
