"";"pluv";"v.rel";"v.rel2";"v.abs";"pluv.m";"afluente";"defluente";"afluente.m"
"2004-01-01";4;49,2;38,0403781016148;482922600;5,01333333333333;2618784;3435264;2618784
"2004-01-02";3,8;49,3;38,1176959432848;483904150;5,14;3037824;2078784;2828304
"2004-01-03";2,7;49,4;38,1950137849547;484885700;4,66666666666667;3339360;2415744;2998656
"2004-01-04";0,3;49,3;38,1176959432848;483904150;4,46;1886976;2787264;2720736
"2004-01-05";0;49,3;38,1176959432848;483904150;4,15333333333333;2567808;2605824;2690150,4
"2004-01-06";0;49,2;38,0403781016148;482922600;4,14333333333333;1926720;2865024;2562912
"2004-01-07";4,9;49;37,8857424182749;480959500;4,21666666666667;1468800;3076704;2406610,28571429
"2004-01-08";6,6;49;37,8857424182749;480959500;4,29;3096576;2655936;2492856
"2004-01-09";20,7;49,2;38,0403781016148;482922600;4,63333333333333;4037472;2733696;2664480
"2004-01-10";6,7;49,6;38,3496494682946;486848800;4,85;5512320;2621376;2949264
"2004-01-11";0;49,7;38,4269673099646;487830350;4,82;3900096;2630016;3035703,27272727
"2004-01-12";0;49,8;38,5042851516345;488811900;4,81;3520800;2647296;3076128
"2004-01-13";21,4;50;38,6589208349744;490775000;5,52333333333333;4391712;2769120;3177326,76923077
"2004-01-14";0;50,1;38,7362386766443;491756550;5,34333333333333;3027456;2751840;3166621,71428571
"2004-01-15";2,6;50,1;38,7362386766443;491756550;5,39333333333333;3316896;2769120;3176640
"2004-01-16";14;50,4;38,9681922016542;494701200;5,33666666666667;4956768;2872800;3287898
"2004-01-17";0;50,4;38,9681922016542;494701200;5,32666666666667;3080160;2845152;3275678,11764706
"2004-01-18";0;50,3;38,8908743599842;493719650;5,32666666666667;1820448;2630880;3194832
"2004-01-19";0;50,2;38,8135565183143;492738100;5,32666666666667;2207520;2484000;3142868,21052632
"2004-01-20";0;50;38,6589208349744;490775000;4,5;1512864;2802816;3061368
"2004-01-21";0;49,8;38,5042851516345;488811900;3,96333333333333;1053216;2958336;2965741,71428571
