date,Jaguari_QNat,Jaguari_QJus,Jaguari_Vop,Cachoeira_QNat,Cachoeira_QJus,Cachoeira_Vop,Atibainha_QNat,Atibainha_QJus,Atibainha_Vop,PaivaC_QNat,PaivaC_QJus,PaivaC_Vop,QESI
2004-01-01,19.14,1.0,5.86,4.44,0.53,29.26,3.37,0.31,39.37,3.36,9.22,40.44,28.7
2004-01-02,22.43,1.0,5.91,6.02,0.53,29.71,3.32,0.31,39.76,3.39,0.22,47.56,22.0
2004-01-03,22.38,1.0,5.96,6.18,0.53,30.17,5.95,0.31,40.75,4.14,0.22,46.46,25.9
2004-01-04,13.05,1.0,6.05,2.96,0.53,30.08,3.43,0.31,40.95,2.4,0.22,40.44,30.2
2004-01-05,22.52,1.0,6.1,2.67,0.53,30.26,2.76,0.31,40.95,1.77,0.22,42.07,28.1
2004-01-06,13.77,1.0,6.29,3.61,0.53,30.62,2.07,0.31,40.95,2.85,0.22,41.53,31.1
2004-01-07,10.26,1.0,6.53,0.03,1.0,30.72,2.06,0.49,40.75,4.65,0.22,40.98,32.9
2004-01-08,26.49,0.82,6.53,3.57,0.22,30.99,2.12,0.48,40.75,3.66,0.22,43.72,29.0
2004-01-09,22.13,0.7,6.53,5.87,0.62,31.54,8.52,0.3,41.35,10.21,0.22,48.11,29.8
2004-01-10,42.38,0.7,6.01,10.68,0.52,32.19,5.14,0.3,41.35,5.6,0.22,38.81,28.6
2004-01-11,30.84,0.7,5.81,8.98,0.52,32.46,3.15,0.3,41.15,2.17,0.22,40.44,28.7
2004-01-12,31.11,0.7,5.67,4.67,0.52,32.28,2.05,0.3,40.95,2.92,0.22,44.81,28.9
2004-01-13,34.36,0.7,5.52,12.61,0.53,33.48,1.94,0.3,40.75,1.92,0.22,46.46,30.3
2004-01-14,20.24,0.7,5.52,5.6,0.53,33.3,4.58,0.3,41.15,4.62,0.22,45.91,30.1
2004-01-15,31.67,0.7,5.28,1.81,0.53,32.37,2.75,0.3,41.35,2.16,0.22,39.89,30.3
2004-01-16,41.16,0.7,5.09,7.77,0.53,33.2,6.41,0.3,41.74,2.03,0.22,39.35,31.5
2004-01-17,21.4,0.7,5.09,5.38,0.53,33.02,5.66,0.28,41.94,3.21,0.22,41.53,31.2
2004-01-18,13.69,0.7,5.23,3.4,0.53,32.74,2.3,0.3,41.94,1.68,0.22,44.81,28.7
2004-01-19,12.01,0.7,5.43,1.69,0.53,32.46,2.36,0.3,41.94,9.49,0.22,48.67,27.0
2004-01-20,13.18,0.7,5.62,1.04,0.52,32.37,1.04,0.3,41.74,2.25,0.22,50.33,30.7
2004-01-21,6.28,0.7,5.91,1.2,0.52,32.28,1.12,0.3,41.54,3.59,0.22,51.44,32.5
2004-01-22,8.05,0.7,6.2,3.61,0.52,32.37,3.03,0.3,41.74,0.88,0.22,53.1,29.3
2004-01-23,32.18,0.7,6.1,4.05,0.52,32.65,3.25,0.3,41.94,4.58,0.22,54.22,30.2
2004-01-24,19.5,0.7,6.15,6.0,0.53,33.2,6.73,0.3,42.34,4.62,0.22,52.55,30.3
2004-01-25,17.95,0.7,6.2,3.03,0.53,33.48,4.5,0.3,42.34,4.78,0.22,51.99,30.1
2004-01-26,10.65,0.7,6.34,3.02,0.53,33.76,2.89,0.3,42.14,6.05,0.22,53.1,29.9
2004-01-27,30.57,0.7,6.2,5.32,0.53,34.32,9.68,0.3,42.54,5.39,0.22,51.99,31.2
2004-01-28,27.18,0.53,6.1,5.98,0.43,34.98,4.87,0.13,42.93,13.27,0.22,55.34,30.6
2004-01-29,30.61,0.5,5.96,4.44,0.41,35.45,3.94,0.1,43.73,7.36,0.22,47.56,29.1
2004-01-30,24.05,0.5,5.91,3.66,0.41,35.82,3.19,0.1,43.53,3.5,0.22,43.17,33.0
2004-01-31,20.72,0.5,5.91,4.61,0.41,35.54,3.66,0.1,43.73,6.58,0.22,46.46,31.4
2004-02-01,14.02,0.5,6.01,3.5,0.41,35.07,5.65,0.1,44.13,15.52,0.22,59.26,32.0
2004-02-02,20.63,0.5,6.01,2.28,0.41,35.26,9.95,0.1,44.53,7.94,0.22,53.1,29.9
2004-02-03,20.63,0.5,6.01,7.23,0.41,36.11,2.31,0.1,44.53,4.61,0.22,48.11,31.2
2004-02-04,17.3,0.5,6.05,4.87,0.41,36.77,1.92,0.1,43.93,4.72,0.22,47.56,33.0
2004-02-05,17.11,0.5,6.15,4.33,0.42,36.58,1.7,0.1,44.13,3.72,0.22,48.11,31.0
2004-02-06,36.71,0.5,6.01,6.55,0.42,36.86,7.2,0.1,44.93,10.64,0.22,55.9,31.6
2004-02-07,33.26,0.24,5.86,13.34,0.42,38.2,11.17,0.1,46.53,12.11,0.22,55.9,29.9
2004-02-08,24.7,0.2,5.67,10.96,0.42,38.01,9.81,0.1,48.13,4.99,0.22,44.26,29.5
2004-02-09,15.67,0.2,5.22,4.15,0.42,37.82,1.0,0.1,48.13,4.53,0.22,42.07,31.2
2004-02-10,14.29,0.39,5.86,4.87,0.42,38.1,2.09,0.1,48.13,3.86,0.22,42.07,31.7
2004-02-11,14.26,0.5,6.01,4.3,0.42,38.29,2.05,0.1,48.13,3.71,0.22,43.72,30.1
2004-02-12,14.12,0.5,6.15,4.48,0.42,38.49,2.02,0.1,48.13,4.46,0.22,43.72,32.3
2004-02-13,14.13,0.66,6.29,2.44,0.42,38.87,1.12,0.1,47.73,3.48,0.22,43.72,31.3
2004-02-14,17.35,0.7,6.39,4.9,0.42,39.06,6.52,0.1,48.13,4.2,0.22,44.26,31.54
2004-02-15,23.94,0.7,6.39,6.55,0.42,39.45,8.82,0.1,48.74,9.5,0.22,49.22,33.0
2004-02-16,30.41,0.48,6.29,8.91,0.42,40.12,11.8,0.1,50.55,15.29,0.22,53.1,28.9
2004-02-17,27.11,0.4,6.25,6.6,0.43,40.51,7.34,0.1,52.17,7.94,0.22,43.17,31.6
2004-02-18,23.79,0.4,6.25,5.91,0.43,40.8,7.34,0.1,52.78,3.44,0.22,39.89,32.9
2004-02-19,17.1,0.4,6.34,3.66,0.43,40.8,1.69,0.1,52.78,5.54,0.22,40.44,33.0
2004-02-20,17.0,0.4,6.44,4.55,0.43,40.9,1.67,0.1,52.78,11.34,0.22,47.56,33.0
