data,americana,indaiatuba,itatiba,martimfrancisco,rioclaro,vargem,vinhedo
1939.0,1367.7,1286.0,,,,,1491.4
1940.0,1264.8000000000002,1200.7,1209.8000000000002,,1171.4,1011.8000000000001,1462.1
1941.0,1237.0,1515.1999999999998,,,1081.1,1209.1000000000001,1429.8999999999999
1942.0,1005.6999999999999,1052.0,,,1196.9,762.4,1126.8
1943.0,1314.3,,,1087.4,1221.7,676.0,1070.4
1944.0,1145.7,1100.8,,,1182.7999999999997,858.1000000000001,925.5999999999999
1945.0,,,1358.2,,1150.3,1547.8,1248.5000000000002
1946.0,,,1834.9,,1997.9999999999998,,
1947.0,1505.6,1263.9,1763.3999999999999,1395.9,1372.6999999999998,,
1948.0,883.7,,1028.2,863.5999999999999,1555.1000000000001,1293.0000000000002,1095.5
1949.0,1309.8,1162.1000000000001,1440.3,,1522.2999999999997,1516.1,1044.0
1950.0,1262.5999999999997,1217.1,1439.8,,1307.9,,
1951.0,1089.0,923.9000000000001,1189.5,,1306.9999999999998,,812.9
1952.0,801.9,,990.4,,830.3,1005.0999999999999,820.9
1953.0,988.8000000000002,,1123.7000000000003,,1146.3,1528.7,1023.5
1954.0,1106.4,1030.8,1100.6999999999998,,1040.8,1392.2,889.8
1955.0,1139.3,1346.2999999999997,,1326.2,1307.3,1714.0,
1956.0,1425.7999999999997,1396.5,1578.0999999999997,1246.3,1418.8000000000002,1682.1,1521.0
1957.0,1497.3,,1137.8,1462.6000000000001,1247.0000000000002,2238.8,1251.6
1958.0,1196.3,1115.6999999999998,1172.8999999999999,1274.8999999999999,1076.3,1574.5,991.9
1959.0,1219.8999999999999,1434.4,1312.6999999999998,1687.4,1176.0,2282.3999999999996,907.0999999999999
1960.0,1616.4,1186.9,1479.2000000000003,1467.1,1253.0,1925.9,1197.1
1961.0,1421.6999999999998,1095.2,1076.2,1514.1000000000001,1142.1000000000001,1722.8999999999999,1104.5
1962.0,1053.6,953.3000000000001,1246.1000000000001,1034.5,858.0,1086.3000000000002,1088.2000000000003
1963.0,1105.8,1050.9,1270.8,928.0000000000001,876.6,1483.1999999999996,1083.5
1964.0,1590.2,1715.5000000000002,1511.0,1427.7999999999997,1476.5,1620.7,1597.2
1965.0,1106.5000000000002,1320.1000000000004,1273.9999999999998,1338.0000000000002,1169.6000000000001,1485.1,1346.5
1966.0,1406.5,1175.4,1383.6,1643.0,1548.7,1632.8,1402.7
1967.0,1008.4000000000001,,1082.8999999999999,1095.0,1031.6999999999998,1163.3,962.5
1968.0,707.9000000000001,,832.7,865.1000000000001,794.3000000000001,1028.5,718.6999999999999
1969.0,1527.6999999999998,1789.5,1721.9,1843.4,1565.9,1638.9,2153.5
1970.0,1035.7,1049.3999999999999,1156.3000000000002,,1170.9000000000003,1154.8000000000002,1150.8
1971.0,1276.6999999999998,1587.0,1374.0,1292.8999999999996,1552.3,1484.5000000000002,1325.0999999999997
1972.0,1271.3,1222.5,1419.3,1380.6999999999996,1227.7,1508.3000000000002,1409.9
1973.0,1334.6,1210.9,1351.1999999999998,1453.7,1576.7,1448.3999999999999,1393.4
1974.0,973.2000000000002,1076.2,1181.0999999999997,1064.3000000000002,1138.5,1173.3999999999999,1033.7
1975.0,2027.5000000000002,1974.8,1928.0,1907.8999999999999,1982.2,2059.4,2497.4
1976.0,1253.9,1003.2,1019.0,1191.2,1302.3999999999999,1337.9999999999998,1326.4999999999998
1977.0,1075.1000000000001,1040.3000000000002,703.9,1371.6,1369.7,1273.4,1169.2
1978.0,1420.8,1238.7,711.6,1488.7,1335.8999999999999,1577.3000000000002,1311.3999999999999
1979.0,1437.4,,,,1451.4,1514.9,1449.8999999999999
1980.0,,,,,,,1181.0
1981.0,,,1546.8,,,,1977.8
1982.0,,,2692.1,,,2485.5000000000005,2681.1000000000004
1983.0,1123.2,,1322.1999999999998,1380.6,1251.1,1480.6000000000001,1281.7
1984.0,1408.5999999999997,,1298.5,1390.1000000000001,1340.6000000000001,1321.4,1480.6
1985.0,813.0,,1180.6999999999998,1194.8999999999999,,1250.2999999999997,1465.1999999999998
1986.0,1511.5,1495.9,2319.6000000000004,1797.1,1600.7999999999997,,2215.7999999999997
1987.0,1281.3999999999996,1288.6000000000001,1437.9,1420.7,,1681.3,1486.5000000000002
1988.0,1341.6000000000001,1425.6,1679.5,1441.3000000000002,1796.7,1707.3000000000002,
1989.0,,1139.8,1499.3,1256.1,,1296.2,
1990.0,,1255.0,1416.1999999999998,1318.9,1786.6000000000001,1698.7000000000003,
1991.0,1018.1,1104.9,1244.7,1471.5,1260.3,1287.8999999999996,1319.8
1992.0,,,1715.3,1502.1,1730.7,1616.4,
1993.0,1145.4,1226.9,1142.3,1060.6999999999998,1150.3,1233.3999999999999,1448.7
1994.0,1718.9,1431.1000000000001,1635.6000000000001,1549.1000000000004,2162.7999999999997,2036.4999999999998,
1995.0,,1362.7,1492.8999999999999,,,1949.6,
1996.0,1525.1999999999998,,1383.9999999999998,1451.8,1513.3,,
1997.0,1617.8,1431.4,1541.1,1329.5,1533.1000000000001,1504.5,
1998.0,1515.8,1367.8000000000002,1521.9,1827.4,,1709.4999999999998,
1999.0,1247.1,1033.4,1142.4,1659.3,1362.8,1309.5999999999997,
2000.0,1339.4,,1373.3999999999999,1596.9,1179.5999999999997,1487.7,
2001.0,1432.6,1201.1,1279.8,1574.1999999999998,1446.7999999999997,1646.4,
2002.0,1135.3000000000002,1313.4,1225.8,,1322.0000000000002,1131.6,
2003.0,1265.6999999999998,,1369.2000000000003,1244.6000000000004,1913.2,1697.7,
2004.0,1532.4,1220.1000000000001,1432.0000000000002,1420.6000000000001,1409.8000000000002,,
2005.0,1275.8,1273.2,1318.2,1139.9,1128.0,1519.0,
2006.0,,1458.6999999999998,1280.3,1462.3999999999999,1657.3000000000002,1452.3000000000002,
2007.0,,1194.4,1177.3,1719.7000000000003,,1741.0,
2008.0,,1358.9,1301.8999999999999,1562.3000000000002,,1798.8000000000002,
2009.0,1361.2,1551.8,1579.9,,1800.3,,
2010.0,,1198.6000000000001,1194.3,1516.8,1776.9,,
2011.0,,1544.7,1683.8,,2040.3,1489.6000000000001,
2012.0,,1375.1,,1397.3999999999999,1260.1999999999998,,
2013.0,932.9999999999999,976.5,,943.7000000000002,1149.1,1059.4,
