,data,proj75,inf75,sup75,proj100,inf100,sup100,proj125,inf125,sup125
0,2015-04-18,14.3,12.2,16.7,15.0,12.8,17.5,15.6,13.4,18.3
1,2015-04-19,14.3,12.4,16.6,14.9,12.9,17.4,15.6,13.5,18.0
2,2015-04-20,15.1,13.2,17.3,16.0,14.0,18.3,16.8,14.8,19.3
3,2015-04-21,15.1,13.0,17.5,15.9,13.7,18.5,16.8,14.5,19.4
4,2015-04-22,14.9,12.8,17.3,15.7,13.6,18.2,16.6,14.4,19.1
5,2015-04-23,15.1,13.6,17.1,16.0,14.3,18.0,16.8,15.1,19.0
6,2015-04-24,14.9,13.0,16.9,15.7,13.8,17.8,16.5,14.5,18.8
7,2015-04-25,15.0,13.0,17.2,15.8,13.7,18.3,16.6,14.5,19.2
8,2015-04-26,15.1,13.2,17.2,15.9,13.9,18.2,16.7,14.6,19.1
9,2015-04-27,15.1,13.2,17.5,15.9,13.8,18.4,16.7,14.5,19.2
10,2015-04-28,15.1,13.3,17.3,15.9,13.9,18.3,16.6,14.7,19.0
11,2015-04-29,14.9,13.2,16.8,15.6,13.8,17.7,16.3,14.5,18.5
12,2015-04-30,14.7,13.0,16.8,15.4,13.6,17.6,16.2,14.2,18.5
13,2015-05-01,14.7,12.5,17.2,15.4,13.2,18.1,16.1,13.7,18.9
14,2015-05-02,14.4,12.6,16.5,15.1,13.2,17.4,15.8,13.8,18.1
15,2015-05-03,14.4,12.5,16.7,15.0,13.0,17.4,15.7,13.6,18.2
16,2015-05-04,14.2,12.6,16.1,14.8,13.1,16.8,15.4,13.6,17.4
17,2015-05-05,14.4,12.8,16.2,15.0,13.3,17.0,15.7,13.9,17.7
18,2015-05-06,14.5,12.3,17.0,15.1,13.0,17.7,15.8,13.5,18.5
19,2015-05-07,14.4,12.3,17.0,15.1,12.8,17.7,15.7,13.4,18.5
20,2015-05-08,14.2,12.2,16.5,14.8,12.9,17.2,15.5,13.4,17.8
21,2015-05-09,14.1,12.3,16.3,14.7,12.9,17.0,15.3,13.4,17.8
22,2015-05-10,14.0,12.5,15.8,14.6,13.0,16.3,15.2,13.5,17.1
23,2015-05-11,14.7,12.8,16.8,15.5,13.5,17.8,16.3,14.2,18.7
24,2015-05-12,14.9,13.3,16.8,15.7,14.0,17.7,16.6,14.7,18.7
25,2015-05-13,14.9,13.0,17.1,15.7,13.8,18.0,16.5,14.6,19.0
26,2015-05-14,15.1,12.9,17.8,16.0,13.6,18.7,16.8,14.3,19.6
27,2015-05-15,14.8,13.3,16.6,15.5,13.8,17.4,16.3,14.6,18.3
28,2015-05-16,14.6,13.2,16.2,15.4,13.8,17.0,16.1,14.6,17.9
29,2015-05-17,14.5,12.7,16.5,15.2,13.4,17.3,15.9,13.9,18.1
30,2015-05-18,14.5,12.7,16.6,15.2,13.3,17.4,15.9,13.9,18.2
31,2015-05-19,14.8,13.2,16.6,15.6,14.0,17.5,16.4,14.6,18.4
32,2015-05-20,14.7,13.2,16.4,15.4,13.9,17.3,16.2,14.6,18.2
33,2015-05-21,14.9,13.2,16.8,15.6,13.8,17.6,16.3,14.5,18.4
34,2015-05-22,14.7,13.0,16.8,15.5,13.7,17.6,16.2,14.3,18.3
35,2015-05-23,14.6,13.0,16.5,15.3,13.7,17.3,16.0,14.3,18.1
36,2015-05-24,14.4,13.0,16.1,15.0,13.5,16.9,15.7,14.1,17.5
37,2015-05-25,14.5,12.9,16.4,15.2,13.5,17.2,15.8,14.1,17.9
38,2015-05-26,14.3,12.9,15.9,14.9,13.5,16.6,15.5,14.1,17.2
39,2015-05-27,14.2,12.8,15.8,14.8,13.4,16.5,15.5,14.0,17.2
40,2015-05-28,14.2,12.8,15.8,14.8,13.4,16.5,15.4,13.9,17.2
41,2015-05-29,14.6,13.1,16.2,15.3,13.8,17.1,16.0,14.4,17.9
42,2015-05-30,14.6,13.2,16.2,15.3,13.9,17.0,16.0,14.5,17.8
43,2015-05-31,14.9,13.3,16.7,15.7,14.1,17.6,16.5,14.8,18.5
44,2015-06-01,15.4,13.6,17.4,16.3,14.5,18.4,17.2,15.3,19.4
45,2015-06-02,15.6,13.8,17.7,16.5,14.7,18.7,17.4,15.5,19.6
46,2015-06-03,15.7,13.7,18.0,16.5,14.5,19.0,17.4,15.2,19.9
47,2015-06-04,15.5,13.8,17.6,16.4,14.6,18.5,17.2,15.3,19.4
48,2015-06-05,15.5,13.8,17.3,16.3,14.6,18.2,17.0,15.3,19.1
49,2015-06-06,15.6,13.9,17.6,16.4,14.6,18.4,17.2,15.3,19.2
50,2015-06-07,15.6,14.0,17.4,16.3,14.7,18.3,17.1,15.4,19.1
51,2015-06-08,15.4,13.7,17.3,16.1,14.4,18.2,16.8,15.0,19.0
52,2015-06-09,15.2,13.6,17.1,15.9,14.2,17.9,16.6,14.8,18.7
53,2015-06-10,15.4,13.6,17.5,16.1,14.2,18.2,16.7,14.8,18.9
54,2015-06-11,14.9,13.4,16.7,15.6,14.0,17.4,16.2,14.5,18.2
55,2015-06-12,15.0,13.2,17.1,15.7,13.8,18.0,16.3,14.4,18.7
56,2015-06-13,14.7,13.3,16.4,15.3,13.9,17.1,15.9,14.4,17.7
57,2015-06-14,14.6,13.1,16.2,15.2,13.7,17.0,15.7,14.2,17.6
58,2015-06-15,14.7,13.0,16.6,15.3,13.5,17.4,15.8,14.0,18.0
59,2015-06-16,14.7,13.5,16.3,15.4,14.1,17.0,16.0,14.7,17.6
60,2015-06-17,14.9,13.2,17.0,15.6,13.9,17.7,16.2,14.4,18.4
61,2015-06-18,14.7,13.1,16.6,15.3,13.7,17.3,15.9,14.3,18.0
62,2015-06-19,15.0,13.5,16.8,15.7,14.2,17.5,16.4,14.8,18.3
63,2015-06-20,14.9,13.4,16.6,15.6,14.1,17.4,16.2,14.7,18.0
64,2015-06-21,14.8,13.4,16.6,15.5,14.0,17.3,16.2,14.6,18.0
65,2015-06-22,14.6,13.1,16.5,15.3,13.7,17.2,15.9,14.2,17.9
66,2015-06-23,14.4,13.1,15.9,15.0,13.6,16.6,15.6,14.3,17.2
67,2015-06-24,14.4,13.3,15.7,15.0,13.8,16.4,15.6,14.4,17.1
68,2015-06-25,14.4,13.3,15.6,15.0,13.8,16.3,15.6,14.4,16.9
69,2015-06-26,14.3,12.9,16.0,14.9,13.4,16.6,15.5,13.9,17.3
70,2015-06-27,14.3,13.0,15.7,14.9,13.5,16.4,15.4,14.0,17.0
71,2015-06-28,14.2,13.2,15.4,14.8,13.6,16.0,15.3,14.1,16.6
72,2015-06-29,14.2,12.9,15.7,14.7,13.4,16.3,15.2,13.8,16.8
73,2015-06-30,14.1,12.8,15.6,14.6,13.2,16.2,15.1,13.6,16.8
74,2015-07-01,14.0,12.7,15.5,14.5,13.1,16.1,15.0,13.5,16.6
75,2015-07-02,14.1,12.7,15.7,14.5,13.1,16.2,15.0,13.6,16.7
76,2015-07-03,13.8,12.9,14.9,14.3,13.4,15.4,14.8,13.8,15.9
77,2015-07-04,14.1,13.0,15.5,14.7,13.5,16.0,15.2,14.0,16.7
78,2015-07-05,14.2,13.1,15.3,14.8,13.7,16.0,15.3,14.2,16.6
79,2015-07-06,14.2,12.9,15.8,14.8,13.4,16.5,15.4,13.9,17.1
80,2015-07-07,14.3,12.5,16.5,14.9,13.0,17.2,15.5,13.5,17.9
81,2015-07-08,14.1,12.8,15.6,14.7,13.3,16.2,15.2,13.8,16.8
82,2015-07-09,14.0,12.9,15.3,14.6,13.4,16.0,15.1,13.9,16.6
83,2015-07-10,14.1,13.1,15.3,14.6,13.6,15.9,15.1,14.0,16.4
84,2015-07-11,14.0,12.7,15.4,14.5,13.2,16.0,15.0,13.7,16.6
85,2015-07-12,13.8,12.7,15.2,14.3,13.1,15.8,14.8,13.6,16.3
86,2015-07-13,13.8,12.8,14.9,14.3,13.3,15.5,14.8,13.8,16.0
87,2015-07-14,13.7,12.4,15.4,14.2,12.8,15.9,14.7,13.2,16.5
88,2015-07-15,13.7,12.5,15.2,14.2,13.0,15.7,14.7,13.4,16.2
89,2015-07-16,13.6,12.4,15.0,14.0,12.8,15.5,14.5,13.3,16.0
90,2015-07-17,13.4,12.4,14.5,13.8,12.8,15.0,14.2,13.2,15.5
91,2015-07-18,13.4,12.2,14.8,13.8,12.5,15.3,14.2,13.0,15.8
92,2015-07-19,13.2,12.2,14.3,13.6,12.6,14.9,14.0,13.0,15.3
93,2015-07-20,13.2,12.0,14.7,13.6,12.4,15.1,14.0,12.7,15.6
94,2015-07-21,13.1,11.9,14.6,13.6,12.3,15.1,13.9,12.6,15.5
95,2015-07-22,13.0,11.8,14.4,13.4,12.2,14.9,13.8,12.5,15.3
96,2015-07-23,12.8,11.8,14.0,13.2,12.1,14.5,13.5,12.4,14.9
97,2015-07-24,12.7,11.7,13.8,13.0,12.0,14.3,13.4,12.3,14.7
98,2015-07-25,13.6,12.0,15.5,14.2,12.5,16.2,14.7,13.0,16.8
