Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
1930;82;87,1;59,2;43,9;35,6;32;29,5;25,7;27,5;38;37,1;86,2;48,7
1931;80,9;174,7;118,1;84,8;59;49,4;39,2;33,2;43,3;41,7;41,9;103,2;72,5
1932;102,5;88,9;87,4;56;57,9;53,3;38,4;33,2;27,4;33,2;31,8;80,3;57,5
1933;65,3;54,2;46,9;34,7;34,8;29,4;26,6;24,4;25;25,5;23,5;37,7;35,7
1934;65,5;56,2;45,8;34,1;26,2;24;20,2;18,2;20,6;23,1;18,5;91,4;37
1935;47,1;101,1;78,4;57,9;39,6;36,1;29;25,9;34,6;64,1;32,6;38,8;48,8
1936;53;53,1;97,2;53,7;38,9;30,7;27,8;35;36;27,4;35,8;107;49,6
1937;139,4;81,5;63;67;50,5;44;33,3;29,3;23,3;44,7;57,4;93,7;60,6
1938;82,4;62,4;64,8;50,8;45,2;35,8;31,8;31,5;33,5;55,4;49,7;54,7;49,8
1939;80,2;79,1;60,8;59,4;47,6;37,9;31,1;25,5;24;23,2;34,9;51,2;46,2
1940;92,5;149,5;86;57,7;43,3;33,4;27;22;20,6;24,8;38,4;44,5;53,3
1941;50;34,9;37,8;29,6;21,9;20,2;19,5;14,6;40,7;42,1;41,8;48,2;33,4
1942;50,4;69,2;74,1;55;38,9;34,7;35,3;25,2;23,3;21,7;25,3;38,8;41
1943;50,2;61,3;71,8;39,9;29;26,6;21,7;20,7;19,6;27,8;29,3;33,2;35,9
1944;36,2;47,9;71,6;36,2;27,1;23;20,8;16,5;14,9;14,1;30,3;25,7;30,4
1945;35,9;85,9;40;32;25,1;50,3;33,7;22,4;20,3;19,2;38,7;48,6;37,7
1946;100;78,3;74,1;57;37,9;35,6;33,7;24;19,6;27,3;27,8;33,6;45,7
1947;94,2;97,6;122,1;58;45;39,2;36,7;31,7;38,6;40,8;37;84,5;60,5
1948;78,1;83;109,3;67,1;50,1;38,9;32,9;29,8;24,5;24,4;28,2;34,6;50,1
1949;54,8;71,8;51,8;45,1;31,7;28,3;22,7;18,5;16,3;17,8;22,2;57,6;36,6
1950;86,9;138,4;97,6;74,8;49,4;41,1;33,5;26,1;21,8;31,4;39,2;58,6;58,2
1951;80,1;88,4;80,5;59,3;39,8;32,7;29,8;26,4;19,9;23,3;30,7;39,7;45,9
1952;60,3;111,3;83,9;48,3;33,8;44;28,4;23,5;24,6;22,6;35,8;26,6;45,3
1953;26,9;34,5;29,8;34,6;23,8;20,7;17,6;16,3;16,2;17,5;26;31,5;24,6
1954;48,5;73,6;44,3;30,7;40;28,4;21,2;17,1;14,6;21,6;14;30;32
1955;51;29,1;47,7;32,3;23,1;21,2;16,9;18,2;15,3;16,4;31,1;40,3;28,6
1956;51,1;39,3;46,1;32,3;38,5;40,4;28,4;37;26,2;25,3;21,5;27,8;34,5
1957;84,5;85,9;90,6;60,6;42,2;36;33,1;30,3;47,3;32,8;43,5;50,8;53,1
1958;76,9;90,3;85,1;63,5;66,6;60,6;46,1;34,1;36,1;33,7;37,4;47,7;56,5
1959;69,4;54;72,6;66,9;39,7;31;25,4;26,6;20,7;21,3;30,9;45,8;42
1960;77,3;79,3;80,8;45,4;40;34,5;27,9;23,6;19;23,2;33,4;120,7;50,4
1961;109,2;89,4;106,5;70,6;60,9;41,9;32,9;27;22,3;20,5;27,8;44,4;54,5
1962;55,3;84,9;103,8;47,4;38,9;30,8;26,6;24,9;24;53,4;41,2;68,2;50
1963;106,3;88,8;58,9;38,4;30,4;25,9;21,7;19,2;14,5;24,5;29,2;21,8;40
1964;30,5;78,2;35,7;27,6;24,8;20,6;21,3;16,8;15,2;25,9;26,3;58,6;31,8
1965;94,2;93,4;76,8;43;46,4;33;31,9;24;21,6;40,3;44,5;70,6;51,6
1966;87,3;72;96,7;53,6;41,1;31,1;25,9;25,4;21,2;29,8;38,8;96,4;51,6
1967;115;115,4;89,2;57;41;43,6;31;24,7;24,8;28,9;42;49,5;55,2
1968;70;42,1;50,5;39,6;29,6;25,4;22,3;21,4;18,4;22,2;18,5;32,3;32,7
1969;31,3;32;30,2;32;19,9;21,3;15,7;16,4;12,2;26,4;49,2;40,4;27,3
1970;87,1;155;89,6;50,3;42;36,1;32,4;28,5;38,2;33;37,4;36,6;55,5
1971;35,9;27,6;40,4;32,4;26,7;36,9;25,9;17,8;19,2;39,5;32,7;53,4;32,4
1972;67,7;82,2;59,5;45,9;32,7;28,6;28,5;29,9;21,8;45,5;44,3;38,6;43,8
1973;55,1;61,4;48,9;50,9;39,4;32,3;32,5;24,9;23,4;28,9;39,8;61,5;41,6
1974;89,9;55,8;59,5;46,5;33,7;39,1;28,8;21,7;19,2;23,5;26,9;53,3;41,5
1975;50,1;72,1;50,8;32,1;26;22,3;22;16;13;22,6;31,9;68,2;35,6
1976;52,6;95,9;86,6;68,5;60,1;63,1;69,6;52,7;70,3;55,7;62,9;74;67,7
1977;82;63,3;56,2;69,5;41,3;38,9;28,3;22,8;29,5;25,7;39,9;60,2;46,5
1978;54,1;45;48,7;29,1;28,2;32,4;28,1;19,4;18,3;16,6;48;43,7;34,3
1979;44,3;46,7;42,8;36,1;38,4;26,5;25,7;27,6;31,6;33,9;40,3;48,1;36,8
1980;69,2;60,1;52,2;65,4;36,8;35,2;26,5;23,1;20,8;21,4;32,7;62,3;42,1
1981;94,4;36,3;33,4;27,6;22,5;23,6;17,5;14,5;12,6;53;87,6;107,4;44,2
1982;83,4;77,6;105,4;61,8;41;51,4;38,2;38,3;29;52,5;49,8;101,2;60,8
1983;122,7;137,6;126,9;105,2;98,4;181,5;86,7;67,5;117,4;98,5;90,1;113,8;112,2
1984;88,1;61,1;48,4;55;52,9;32,4;27,2;33,8;33,6;24,9;24,5;46;44
