"";"x"
"Jan 1930";82
"Fev 1930";87,1
"Mar 1930";59,2
"Abr 1930";43,9
"Mai 1930";35,6
"Jun 1930";32
"Jul 1930";29,5
"Ago 1930";25,7
"Set 1930";27,5
"Out 1930";38
"Nov 1930";37,1
"Dez 1930";86,2
"Jan 1931";80,9
"Fev 1931";174,7
"Mar 1931";118,1
"Abr 1931";84,8
"Mai 1931";59
"Jun 1931";49,4
"Jul 1931";39,2
"Ago 1931";33,2
"Set 1931";43,3
"Out 1931";41,7
"Nov 1931";41,9
"Dez 1931";103,2
"Jan 1932";102,5
"Fev 1932";88,9
"Mar 1932";87,4
"Abr 1932";56
"Mai 1932";57,9
"Jun 1932";53,3
"Jul 1932";38,4
"Ago 1932";33,2
"Set 1932";27,4
"Out 1932";33,2
"Nov 1932";31,8
"Dez 1932";80,3
"Jan 1933";65,3
"Fev 1933";54,2
"Mar 1933";46,9
"Abr 1933";34,7
"Mai 1933";34,8
"Jun 1933";29,4
"Jul 1933";26,6
"Ago 1933";24,4
"Set 1933";25
"Out 1933";25,5
"Nov 1933";23,5
"Dez 1933";37,7
"Jan 1934";65,5
"Fev 1934";56,2
"Mar 1934";45,8
"Abr 1934";34,1
"Mai 1934";26,2
"Jun 1934";24
"Jul 1934";20,2
"Ago 1934";18,2
"Set 1934";20,6
"Out 1934";23,1
"Nov 1934";18,5
"Dez 1934";91,4
"Jan 1935";47,1
"Fev 1935";101,1
"Mar 1935";78,4
"Abr 1935";57,9
"Mai 1935";39,6
"Jun 1935";36,1
"Jul 1935";29
"Ago 1935";25,9
"Set 1935";34,6
"Out 1935";64,1
"Nov 1935";32,6
"Dez 1935";38,8
"Jan 1936";53
"Fev 1936";53,1
"Mar 1936";97,2
"Abr 1936";53,7
"Mai 1936";38,9
"Jun 1936";30,7
"Jul 1936";27,8
"Ago 1936";35
"Set 1936";36
"Out 1936";27,4
"Nov 1936";35,8
"Dez 1936";107
"Jan 1937";139,4
"Fev 1937";81,5
"Mar 1937";63
"Abr 1937";67
"Mai 1937";50,5
"Jun 1937";44
"Jul 1937";33,3
"Ago 1937";29,3
"Set 1937";23,3
"Out 1937";44,7
"Nov 1937";57,4
"Dez 1937";93,7
"Jan 1938";82,4
"Fev 1938";62,4
"Mar 1938";64,8
"Abr 1938";50,8
"Mai 1938";45,2
"Jun 1938";35,8
"Jul 1938";31,8
"Ago 1938";31,5
"Set 1938";33,5
"Out 1938";55,4
"Nov 1938";49,7
"Dez 1938";54,7
"Jan 1939";80,2
"Fev 1939";79,1
"Mar 1939";60,8
"Abr 1939";59,4
"Mai 1939";47,6
"Jun 1939";37,9
"Jul 1939";31,1
"Ago 1939";25,5
"Set 1939";24
"Out 1939";23,2
"Nov 1939";34,9
"Dez 1939";51,2
"Jan 1940";92,5
"Fev 1940";149,5
"Mar 1940";86
"Abr 1940";57,7
"Mai 1940";43,3
"Jun 1940";33,4
"Jul 1940";27
"Ago 1940";22
"Set 1940";20,6
"Out 1940";24,8
"Nov 1940";38,4
"Dez 1940";44,5
"Jan 1941";50
"Fev 1941";34,9
"Mar 1941";37,8
"Abr 1941";29,6
"Mai 1941";21,9
"Jun 1941";20,2
"Jul 1941";19,5
"Ago 1941";14,6
"Set 1941";40,7
"Out 1941";42,1
"Nov 1941";41,8
"Dez 1941";48,2
"Jan 1942";50,4
"Fev 1942";69,2
"Mar 1942";74,1
"Abr 1942";55
"Mai 1942";38,9
"Jun 1942";34,7
"Jul 1942";35,3
"Ago 1942";25,2
"Set 1942";23,3
"Out 1942";21,7
"Nov 1942";25,3
"Dez 1942";38,8
"Jan 1943";50,2
"Fev 1943";61,3
"Mar 1943";71,8
"Abr 1943";39,9
"Mai 1943";29
"Jun 1943";26,6
"Jul 1943";21,7
"Ago 1943";20,7
"Set 1943";19,6
"Out 1943";27,8
"Nov 1943";29,3
"Dez 1943";33,2
"Jan 1944";36,2
"Fev 1944";47,9
"Mar 1944";71,6
"Abr 1944";36,2
"Mai 1944";27,1
"Jun 1944";23
"Jul 1944";20,8
"Ago 1944";16,5
"Set 1944";14,9
"Out 1944";14,1
"Nov 1944";30,3
"Dez 1944";25,7
"Jan 1945";35,9
"Fev 1945";85,9
"Mar 1945";40
"Abr 1945";32
"Mai 1945";25,1
"Jun 1945";50,3
"Jul 1945";33,7
"Ago 1945";22,4
"Set 1945";20,3
"Out 1945";19,2
"Nov 1945";38,7
"Dez 1945";48,6
"Jan 1946";100
"Fev 1946";78,3
"Mar 1946";74,1
"Abr 1946";57
"Mai 1946";37,9
"Jun 1946";35,6
"Jul 1946";33,7
"Ago 1946";24
"Set 1946";19,6
"Out 1946";27,3
"Nov 1946";27,8
"Dez 1946";33,6
"Jan 1947";94,2
"Fev 1947";97,6
"Mar 1947";122,1
"Abr 1947";58
"Mai 1947";45
"Jun 1947";39,2
"Jul 1947";36,7
"Ago 1947";31,7
"Set 1947";38,6
"Out 1947";40,8
"Nov 1947";37
"Dez 1947";84,5
"Jan 1948";78,1
"Fev 1948";83
"Mar 1948";109,3
"Abr 1948";67,1
"Mai 1948";50,1
"Jun 1948";38,9
"Jul 1948";32,9
"Ago 1948";29,8
"Set 1948";24,5
"Out 1948";24,4
"Nov 1948";28,2
"Dez 1948";34,6
"Jan 1949";54,8
"Fev 1949";71,8
"Mar 1949";51,8
"Abr 1949";45,1
"Mai 1949";31,7
"Jun 1949";28,3
"Jul 1949";22,7
"Ago 1949";18,5
"Set 1949";16,3
"Out 1949";17,8
"Nov 1949";22,2
"Dez 1949";57,6
"Jan 1950";86,9
"Fev 1950";138,4
"Mar 1950";97,6
"Abr 1950";74,8
"Mai 1950";49,4
"Jun 1950";41,1
"Jul 1950";33,5
